acc_x,acc_y,acc_z,vib,Earthquake
337,342,417,97,Normal
337,343,417,96,Normal
337,343,418,97,Normal
339,344,420,97,Normal
338,343,417,96,Normal
337,343,418,97,Normal
337,343,417,97,Normal
336,342,416,97,Normal
337,343,417,97,Normal
338,344,419,96,Normal
338,344,418,97,Normal
337,343,417,96,Normal
340,346,421,97,Normal
338,343,418,96,Normal
338,343,418,97,Normal
337,342,416,97,Normal
338,343,417,97,Normal
340,345,421,97,Normal
338,343,418,97,Normal
338,343,418,97,Normal
337,342,417,97,Normal
337,342,416,97,Normal
337,342,416,96,Normal
338,342,416,96,Normal
337,342,417,96,Normal
337,342,416,96,Normal
337,342,415,96,Normal
337,342,416,96,Normal
338,343,417,96,Normal
338,343,416,97,Normal
338,343,417,96,Normal
339,344,417,96,Normal
337,342,415,96,Normal
336,341,415,97,Normal
338,343,416,96,Normal
338,343,417,96,Normal
337,342,415,97,Normal
337,343,416,97,Normal
338,342,415,96,Normal
339,343,417,96,Normal
337,342,416,96,Normal
338,343,417,97,Normal
338,343,416,96,Normal
337,342,416,97,Normal
338,342,416,96,Normal
338,342,416,96,Normal
338,342,415,96,Normal
339,343,416,97,Normal
338,342,416,96,Normal
337,342,415,97,Normal
337,342,415,96,Normal
338,343,417,96,Normal
337,342,415,97,Normal
338,343,416,96,Normal
341,346,421,97,Normal
336,341,414,96,Normal
337,342,415,96,Normal
338,343,416,96,Normal
337,343,415,96,Normal
338,343,416,97,Normal
337,342,415,96,Normal
338,342,415,96,Normal
341,345,419,97,Normal
339,342,416,96,Normal
338,342,415,97,Normal
339,344,417,96,Normal
339,342,416,97,Normal
339,340,415,97,Normal
347,345,422,97,Normal
346,340,421,97,Normal
344,339,421,97,Normal
343,339,419,96,Normal
343,341,419,96,Normal
342,341,419,96,Normal
341,340,418,97,Normal
343,342,421,97,Normal
342,342,421,97,Normal
342,342,420,96,Normal
341,342,420,97,Normal
341,341,419,96,Normal
340,342,417,96,Normal
345,342,424,97,Normal
340,342,419,97,Normal
341,341,418,96,Normal
341,342,418,96,Normal
340,340,418,97,Normal
340,341,417,96,Normal
340,340,418,96,Normal
341,342,419,97,Normal
340,341,417,97,Normal
340,342,418,97,Normal
340,341,417,97,Normal
340,341,417,96,Normal
339,341,417,96,Normal
341,343,419,97,Normal
341,342,416,96,Normal
341,342,418,97,Normal
342,343,419,97,Normal
342,344,420,96,Normal
341,342,419,97,Normal
341,341,419,97,Normal
341,342,419,97,Normal
340,342,418,96,Normal
341,342,419,96,Normal
342,346,422,96,Normal
341,345,416,97,Normal
342,345,420,97,Normal
342,343,421,96,Normal
340,343,418,96,Normal
340,342,419,96,Normal
340,342,418,96,Normal
340,342,418,96,Normal
342,343,419,97,Normal
341,342,418,96,Normal
340,341,418,96,Normal
341,342,419,97,Normal
343,345,421,97,Normal
340,342,418,96,Normal
343,344,421,96,Normal
341,343,418,96,Normal
341,342,419,97,Normal
340,341,419,97,Normal
340,342,418,97,Normal
339,342,417,96,Normal
340,342,418,96,Normal
339,340,418,96,Normal
340,343,418,96,Normal
340,343,417,97,Normal
341,343,419,97,Normal
339,341,417,97,Normal
340,342,418,96,Normal
339,340,416,97,Normal
339,341,418,96,Normal
340,342,416,96,Normal
340,343,418,97,Normal
340,342,420,97,Normal
340,342,419,96,Normal
339,340,418,96,Normal
340,342,418,97,Normal
340,342,418,97,Normal
341,343,419,98,Normal
342,344,419,97,Normal
339,341,418,97,Normal
340,342,418,97,Normal
341,345,416,96,Normal
341,340,418,97,Normal
339,341,417,97,Normal
338,340,417,97,Normal
340,340,419,96,Normal
340,341,418,96,Normal
340,342,419,97,Normal
340,342,419,97,Normal
340,342,418,96,Normal
340,341,417,96,Normal
343,345,422,97,Normal
340,342,418,96,Normal
340,342,417,96,Normal
341,343,419,97,Normal
339,340,418,96,Normal
339,341,420,96,Normal
340,341,417,97,Normal
339,341,417,96,Normal
339,342,418,97,Normal
339,341,417,97,Normal
339,342,418,97,Normal
344,346,423,97,Normal
341,343,420,97,Normal
340,341,418,96,Normal
339,341,417,97,Normal
342,343,421,97,Normal
340,341,418,96,Normal
341,340,419,97,Normal
340,340,419,97,Normal
340,342,419,96,Normal
343,345,422,97,Normal
344,346,423,97,Normal
339,342,418,96,Normal
340,342,419,96,Normal
339,342,417,96,Normal
339,342,417,96,Normal
340,343,418,97,Normal
339,339,420,97,Normal
341,343,419,97,Normal
340,339,418,96,Normal
340,343,418,97,Normal
339,341,418,97,Normal
343,343,421,98,Normal
340,342,419,97,Normal
340,342,418,97,Normal
339,340,416,96,Normal
339,340,416,96,Normal
340,340,418,97,Normal
340,342,418,97,Normal
340,344,420,97,Normal
340,341,419,96,Normal
340,342,418,96,Normal
339,341,417,97,Normal
340,341,418,97,Normal
341,342,419,97,Normal
340,342,418,96,Normal
340,342,417,97,Normal
341,343,419,97,Normal
340,340,420,97,Normal
340,340,419,96,Normal
344,342,421,97,Normal
340,342,418,96,Normal
341,343,418,97,Normal
341,344,419,97,Normal
339,340,418,96,Normal
341,343,418,97,Normal
340,340,420,96,Normal
341,342,420,97,Normal
339,341,417,97,Normal
340,342,418,96,Normal
346,347,423,98,Normal
343,347,419,97,Normal
345,347,423,97,Normal
342,342,421,97,Normal
342,344,420,96,Normal
340,341,417,97,Normal
341,342,419,96,Normal
339,341,417,97,Normal
340,341,418,96,Normal
340,341,417,96,Normal
340,342,419,97,Normal
341,341,422,96,Normal
339,337,421,97,Normal
343,345,421,97,Normal
341,342,418,97,Normal
340,341,418,97,Normal
339,342,419,97,Normal
340,342,417,97,Normal
341,342,419,97,Normal
341,342,420,96,Normal
339,342,417,97,Normal
340,342,418,96,Normal
341,341,420,96,Normal
340,342,420,96,Normal
343,346,422,97,Normal
340,341,418,96,Normal
339,339,418,97,Normal
339,341,417,97,Normal
340,342,417,97,Normal
340,341,418,96,Normal
339,341,418,96,Normal
340,342,419,97,Normal
340,341,418,97,Normal
338,338,419,96,Normal
339,339,419,96,Normal
339,342,418,96,Normal
338,340,417,97,Normal
339,342,416,96,Normal
340,340,417,97,Normal
345,345,426,98,Normal
340,342,418,97,Normal
339,340,418,97,Normal
338,336,419,96,Normal
339,340,421,96,Normal
341,340,418,97,Normal
340,343,418,96,Normal
340,343,420,97,Normal
339,341,418,96,Normal
339,340,418,96,Normal
340,341,418,97,Normal
341,343,421,96,Normal
339,341,417,96,Normal
339,340,417,96,Normal
339,344,414,97,Normal
340,338,418,97,Normal
339,342,418,97,Normal
339,341,417,96,Normal
341,344,420,97,Normal
340,342,418,97,Normal
339,341,418,96,Normal
340,342,418,97,Normal
338,341,416,96,Normal
340,342,418,96,Normal
341,343,420,96,Normal
340,344,417,97,Normal
339,341,418,96,Normal
338,339,418,97,Normal
342,344,419,97,Normal
339,340,417,96,Normal
340,342,418,96,Normal
340,342,417,96,Normal
340,342,418,96,Normal
338,341,417,97,Normal
342,343,420,97,Normal
341,343,417,97,Normal
340,342,418,97,Normal
338,340,416,96,Normal
339,341,419,97,Normal
341,342,419,96,Normal
340,343,418,97,Normal
338,340,417,97,Normal
339,341,416,96,Normal
340,341,418,96,Normal
343,345,422,97,Normal
339,342,418,97,Normal
339,342,419,96,Normal
339,340,419,97,Normal
337,340,416,97,Normal
338,341,417,96,Normal
339,341,418,96,Normal
339,341,417,97,Normal
339,342,417,96,Normal
342,344,420,98,Normal
338,341,417,96,Normal
339,342,418,96,Normal
339,342,416,97,Normal
340,342,418,97,Normal
341,343,418,97,Normal
339,342,419,97,Normal
339,343,414,96,Normal
339,344,418,96,Normal
340,342,420,97,Normal
339,343,417,97,Normal
340,343,417,97,Normal
341,343,419,97,Normal
339,341,418,97,Normal
339,343,418,96,Normal
341,342,417,97,Normal
340,341,418,96,Normal
341,347,417,97,Normal
339,342,416,96,Normal
340,344,418,97,Normal
339,341,419,97,Normal
340,342,419,97,Normal
340,342,419,97,Normal
338,340,418,96,Normal
339,342,418,97,Normal
339,341,418,96,Normal
343,345,422,97,Normal
341,343,418,97,Normal
339,342,420,97,Normal
340,344,417,97,Normal
340,341,418,97,Normal
340,342,419,97,Normal
340,342,418,97,Normal
340,342,417,97,Normal
341,343,418,96,Normal
343,345,421,97,Normal
339,342,417,97,Normal
339,342,416,96,Normal
341,343,421,97,Normal
339,340,418,96,Normal
340,345,418,97,Normal
339,341,419,97,Normal
340,341,418,97,Normal
341,343,420,97,Normal
339,342,417,96,Normal
338,341,417,97,Normal
341,342,418,97,Normal
339,341,417,97,Normal
338,342,416,96,Normal
340,345,417,97,Normal
339,341,417,96,Normal
339,342,418,97,Normal
338,341,416,96,Normal
338,341,417,96,Normal
340,342,418,97,Normal
341,344,420,97,Normal
339,340,417,97,Normal
340,342,421,97,Normal
340,343,418,96,Normal
340,343,417,96,Normal
340,342,418,96,Normal
338,340,418,97,Normal
339,342,418,96,Normal
340,342,419,97,Normal
339,342,418,97,Normal
339,341,418,96,Normal
339,342,417,96,Normal
342,347,420,97,Normal
338,341,416,96,Normal
339,341,419,96,Normal
339,342,417,96,Normal
339,343,418,97,Normal
338,340,417,97,Normal
342,344,420,97,Normal
339,343,418,96,Normal
339,342,417,97,Normal
340,342,419,97,Normal
338,340,418,97,Normal
342,343,421,97,Normal
339,342,418,96,Normal
339,342,416,96,Normal
340,342,419,97,Normal
341,343,419,97,Normal
339,342,416,97,Normal
338,341,416,96,Normal
338,340,418,97,Normal
338,341,418,96,Normal
338,343,415,96,Normal
345,346,423,97,Normal
339,343,418,97,Normal
342,345,420,97,Normal
339,342,417,97,Normal
340,342,418,97,Normal
338,341,417,97,Normal
343,344,421,97,Normal
337,340,416,96,Normal
338,340,419,97,Normal
339,343,417,97,Normal
344,347,423,98,Normal
340,342,419,96,Normal
339,342,419,96,Normal
339,342,418,96,Normal
341,344,420,96,Normal
341,342,419,97,Normal
340,337,420,97,Normal
339,342,419,96,Normal
338,340,417,97,Normal
340,343,418,97,Normal
338,340,416,97,Normal
340,342,418,97,Normal
339,342,418,97,Normal
340,341,419,97,Normal
339,341,416,96,Normal
339,340,417,97,Normal
339,337,419,97,Normal
340,340,420,97,Normal
338,340,417,97,Normal
340,340,419,97,Normal
343,345,422,97,Normal
339,341,419,97,Normal
339,341,417,96,Normal
340,342,418,96,Normal
339,341,418,96,Normal
339,342,418,96,Normal
338,341,417,96,Normal
340,341,417,97,Normal
339,342,415,97,Normal
339,341,418,96,Normal
338,340,417,97,Normal
340,341,419,96,Normal
346,349,425,98,Normal
339,341,417,97,Normal
341,345,420,97,Normal
339,341,416,96,Normal
339,341,416,96,Normal
338,341,416,97,Normal
338,340,417,96,Normal
338,341,417,96,Normal
344,347,424,97,Normal
339,340,416,97,Normal
339,340,418,97,Normal
340,344,420,96,Normal
338,342,418,97,Normal
340,342,419,97,Normal
339,342,418,96,Normal
338,341,417,96,Normal
338,341,417,97,Normal
339,341,418,96,Normal
340,341,417,97,Normal
339,342,418,96,Normal
339,340,417,97,Normal
340,340,420,96,Normal
340,340,418,96,Normal
339,342,417,97,Normal
340,342,418,96,Normal
340,343,419,96,Normal
340,342,418,97,Normal
340,342,419,97,Normal
339,343,417,96,Normal
340,341,418,97,Normal
339,341,417,97,Normal
340,343,418,96,Normal
340,340,417,97,Normal
340,343,419,97,Normal
339,341,417,96,Normal
340,342,417,97,Normal
338,341,417,97,Normal
339,343,418,97,Normal
340,342,417,97,Normal
338,342,418,96,Normal
339,340,420,96,Normal
340,342,418,97,Normal
339,340,418,97,Normal
340,346,420,97,Normal
342,343,421,97,Normal
338,341,417,96,Normal
338,341,418,97,Normal
340,342,417,96,Normal
339,341,418,96,Normal
339,341,417,96,Normal
340,343,418,97,Normal
339,341,419,96,Normal
339,341,417,96,Normal
339,343,419,97,Normal
339,342,417,96,Normal
338,341,416,96,Normal
339,341,417,97,Normal
339,342,416,97,Normal
338,341,419,96,Normal
344,346,423,98,Normal
338,342,416,96,Normal
342,344,421,98,Normal
339,342,417,97,Normal
338,341,418,96,Normal
340,343,419,96,Normal
339,342,419,96,Normal
338,342,417,96,Normal
339,340,418,97,Normal
339,341,417,97,Normal
338,338,417,96,Normal
340,345,419,96,Normal
341,346,420,96,Normal
343,344,423,97,Normal
339,340,418,97,Normal
341,344,418,97,Normal
339,340,419,97,Normal
338,342,416,96,Normal
339,342,418,97,Normal
341,344,421,97,Normal
338,341,417,96,Normal
342,344,422,97,Normal
339,342,419,96,Normal
342,344,422,97,Normal
338,341,417,96,Normal
339,342,417,97,Normal
341,346,418,97,Normal
339,343,419,96,Normal
339,343,417,97,Normal
339,342,416,96,Normal
339,342,417,97,Normal
339,341,419,97,Normal
339,342,418,97,Normal
342,344,421,97,Normal
339,343,417,96,Normal
339,342,418,97,Normal
343,346,423,98,Normal
337,340,416,97,Normal
340,342,418,96,Normal
338,343,416,96,Normal
338,340,417,97,Normal
341,341,420,97,Normal
339,343,417,97,Normal
338,341,418,97,Normal
339,342,418,96,Normal
339,342,419,96,Normal
342,344,421,97,Normal
339,342,418,96,Normal
339,341,416,96,Normal
339,340,418,96,Normal
338,341,416,96,Normal
340,340,419,97,Normal
338,343,418,97,Normal
339,341,417,97,Normal
337,342,416,96,Normal
339,342,418,97,Normal
340,343,418,96,Normal
343,346,423,97,Normal
339,341,418,96,Normal
339,342,418,97,Normal
340,342,418,97,Normal
340,343,418,96,Normal
337,339,416,96,Normal
339,342,417,97,Normal
339,342,418,96,Normal
339,338,419,96,Normal
344,348,424,97,Normal
339,342,415,97,Normal
340,344,419,96,Normal
339,341,417,97,Normal
338,341,418,96,Normal
339,342,418,96,Normal
339,342,418,96,Normal
339,340,417,97,Normal
339,342,417,97,Normal
339,341,416,95,Normal
339,341,418,96,Normal
339,340,417,96,Normal
340,345,417,97,Normal
339,340,417,96,Normal
340,343,419,97,Normal
340,341,417,97,Normal
341,344,418,97,Normal
339,342,419,96,Normal
339,340,418,96,Normal
340,341,419,96,Normal
340,342,418,97,Normal
339,341,417,97,Normal
340,339,417,96,Normal
338,339,418,96,Normal
339,342,418,97,Normal
339,341,421,97,Normal
338,336,418,97,Normal
339,339,418,96,Normal
340,342,419,96,Normal
339,340,416,96,Normal
339,340,418,97,Normal
341,342,420,97,Normal
338,340,417,96,Normal
338,340,418,97,Normal
338,340,417,97,Normal
338,337,421,97,Normal
339,337,418,97,Normal
339,341,416,96,Normal
341,343,419,97,Normal
340,341,418,97,Normal
339,341,417,96,Normal
339,340,418,96,Normal
339,341,418,97,Normal
339,341,418,97,Normal
338,340,417,97,Normal
338,340,417,96,Normal
338,340,417,96,Normal
340,344,419,96,Normal
338,339,418,96,Normal
339,340,419,97,Normal
338,340,417,97,Normal
339,341,418,97,Normal
339,340,418,96,Normal
339,340,419,97,Normal
338,340,418,97,Normal
340,340,418,96,Normal
338,340,417,97,Normal
340,344,418,97,Normal
339,338,418,97,Normal
339,338,417,96,Normal
339,339,417,96,Normal
341,343,422,97,Normal
341,342,420,97,Normal
339,340,418,97,Normal
338,341,418,96,Normal
339,340,417,96,Normal
340,341,418,96,Normal
338,339,421,97,Normal
340,341,416,96,Normal
338,342,416,97,Normal
339,339,418,96,Normal
341,342,418,96,Normal
344,346,424,98,Normal
340,342,419,97,Normal
339,342,416,96,Normal
339,340,418,96,Normal
339,341,418,96,Normal
340,340,421,97,Normal
339,341,419,97,Normal
339,342,419,96,Normal
339,341,417,96,Normal
339,341,416,96,Normal
340,342,418,97,Normal
339,341,418,97,Normal
339,342,419,96,Normal
338,340,417,96,Normal
339,340,416,97,Normal
338,340,417,97,Normal
338,339,419,97,Normal
340,343,417,96,Normal
339,338,418,96,Normal
338,339,417,96,Normal
340,341,418,96,Normal
340,341,418,96,Normal
339,341,417,96,Normal
340,343,420,96,Normal
338,341,417,96,Normal
340,341,419,97,Normal
339,342,419,96,Normal
340,339,419,97,Normal
338,342,416,96,Normal
339,340,417,96,Normal
339,341,417,97,Normal
338,340,416,97,Normal
339,339,417,96,Normal
339,339,417,97,Normal
339,342,416,96,Normal
339,340,418,97,Normal
340,344,419,96,Normal
339,338,418,96,Normal
343,345,424,97,Normal
338,340,418,97,Normal
338,341,417,97,Normal
339,341,418,97,Normal
339,341,418,97,Normal
339,340,418,96,Normal
339,341,419,96,Normal
340,343,416,96,Normal
339,342,417,96,Normal
338,341,417,96,Normal
339,342,417,96,Normal
338,341,416,97,Normal
339,341,418,97,Normal
339,341,417,96,Normal
338,340,418,96,Normal
338,340,417,96,Normal
339,340,419,97,Normal
339,342,419,96,Normal
339,338,418,97,Normal
338,340,418,97,Normal
339,339,418,97,Normal
339,341,418,96,Normal
339,341,418,96,Normal
339,340,416,97,Normal
339,341,417,96,Normal
338,343,413,96,Normal
340,343,419,96,Normal
339,342,418,96,Normal
342,344,422,97,Normal
340,342,419,97,Normal
338,341,418,96,Normal
338,341,417,97,Normal
337,341,418,96,Normal
343,344,422,97,Normal
338,342,419,96,Normal
338,342,416,96,Normal
338,339,418,97,Normal
339,340,417,96,Normal
339,341,418,97,Normal
338,341,417,96,Normal
338,340,416,97,Normal
339,342,418,96,Normal
339,340,419,97,Normal
338,341,416,97,Normal
339,341,417,96,Normal
342,344,421,97,Normal
338,340,418,96,Normal
339,339,418,97,Normal
339,341,417,97,Normal
338,340,417,97,Normal
339,341,418,97,Normal
339,342,419,96,Normal
339,341,420,96,Normal
344,344,423,97,Normal
338,341,418,96,Normal
341,344,420,97,Normal
339,341,417,97,Normal
338,340,417,96,Normal
338,340,419,96,Normal
338,343,416,96,Normal
339,342,418,98,Normal
340,343,420,97,Normal
338,340,417,97,Normal
339,340,418,97,Normal
338,340,418,97,Normal
337,340,418,96,Normal
338,343,414,96,Normal
336,340,417,97,Normal
339,343,417,97,Normal
339,341,418,97,Normal
339,341,418,96,Normal
339,342,418,96,Normal
339,342,417,96,Normal
338,344,415,96,Normal
337,341,417,96,Normal
341,344,421,97,Normal
337,340,416,96,Normal
337,340,417,96,Normal
338,339,416,96,Normal
339,341,416,97,Normal
338,340,417,96,Normal
339,343,417,97,Normal
338,342,416,96,Normal
339,341,418,97,Normal
338,341,417,96,Normal
338,340,419,96,Normal
338,342,417,97,Normal
338,340,417,97,Normal
338,340,419,96,Normal
338,340,417,96,Normal
338,341,416,97,Normal
338,340,417,96,Normal
338,340,416,97,Normal
338,340,419,97,Normal
338,339,416,97,Normal
339,340,418,96,Normal
339,341,419,97,Normal
338,341,418,96,Normal
338,340,418,97,Normal
339,341,418,96,Normal
338,341,417,97,Normal
339,341,417,96,Normal
338,340,417,97,Normal
338,341,416,96,Normal
338,340,417,96,Normal
340,343,420,97,Normal
338,341,418,96,Normal
337,340,417,96,Normal
339,340,417,96,Normal
338,340,416,97,Normal
338,340,416,96,Normal
338,342,414,96,Normal
340,342,417,97,Normal
338,342,416,97,Normal
338,340,416,97,Normal
339,340,417,97,Normal
338,341,418,96,Normal
338,340,415,96,Normal
338,336,416,97,Normal
312,370,401,1022,Abnormal
254,376,448,1022,Abnormal
295,351,407,1022,Abnormal
259,357,355,1022,Abnormal
270,331,392,1022,Abnormal
278,309,367,1022,Abnormal
269,319,354,1022,Abnormal
278,342,354,1022,Abnormal
283,332,348,1022,Abnormal
280,336,352,1022,Abnormal
270,325,359,1022,Abnormal
274,331,354,1022,Abnormal
282,333,352,1022,Abnormal
260,313,358,1022,Abnormal
266,318,358,1022,Abnormal
272,324,356,1022,Abnormal
284,331,354,1022,Abnormal
276,324,351,1022,Abnormal
274,325,353,1022,Abnormal
267,321,356,1022,Abnormal
336,325,358,1021,Abnormal
263,318,360,1021,Abnormal
271,319,359,1021,Abnormal
275,326,353,1021,Abnormal
283,330,356,1021,Abnormal
267,320,356,1021,Abnormal
273,320,358,1021,Abnormal
250,317,359,1021,Abnormal
282,315,357,1021,Abnormal
275,325,356,1021,Abnormal
245,316,357,1021,Abnormal
251,314,358,1021,Abnormal
260,315,361,1021,Abnormal
279,316,359,1021,Abnormal
279,321,362,1021,Abnormal
268,318,354,1021,Abnormal
272,319,351,1021,Abnormal
276,325,349,1021,Abnormal
259,318,357,1021,Abnormal
271,324,350,1021,Abnormal
295,330,352,1022,Abnormal
271,315,354,1022,Abnormal
271,324,350,1022,Abnormal
268,320,354,1022,Abnormal
269,320,354,1022,Abnormal
265,320,349,1021,Abnormal
274,320,352,1021,Abnormal
270,321,355,1021,Abnormal
266,321,349,1021,Abnormal
262,324,362,1021,Abnormal
271,326,349,1021,Abnormal
270,321,353,1021,Abnormal
270,320,353,1021,Abnormal
270,321,353,1021,Abnormal
274,324,353,1021,Abnormal
267,318,356,1021,Abnormal
262,296,375,1021,Abnormal
281,353,379,1021,Abnormal
327,302,394,1021,Abnormal
357,287,391,1021,Abnormal
360,289,396,1021,Abnormal
360,276,402,1021,Abnormal
289,362,355,1021,Abnormal
363,322,425,1021,Abnormal
401,335,385,1021,Abnormal
409,334,355,1021,Abnormal
397,331,356,1021,Abnormal
401,339,361,1021,Abnormal
411,333,363,1021,Abnormal
407,337,359,1023,Abnormal
409,333,352,1023,Abnormal
401,337,358,1021,Abnormal
406,335,356,1021,Abnormal
399,327,357,1021,Abnormal
404,341,361,1021,Abnormal
401,334,356,1021,Abnormal
402,339,358,1021,Abnormal
406,335,355,1021,Abnormal
419,334,357,1020,Abnormal
407,337,354,1020,Abnormal
414,338,364,1022,Abnormal
402,330,357,1022,Abnormal
404,338,358,1022,Abnormal
409,334,366,1022,Abnormal
407,333,348,1022,Abnormal
399,330,355,1022,Abnormal
412,335,355,1022,Abnormal
404,336,358,1021,Abnormal
404,334,356,1022,Abnormal
401,335,354,434,Abnormal
404,337,361,434,Abnormal
404,336,355,1020,Abnormal
406,333,355,1020,Abnormal
413,333,354,1020,Abnormal
402,327,355,1020,Abnormal
404,337,350,1020,Abnormal
408,334,355,1020,Abnormal
407,338,362,1020,Abnormal
400,339,356,1023,Abnormal
403,340,359,1023,Abnormal
364,326,411,1023,Abnormal
304,344,405,1023,Abnormal
294,344,384,1023,Abnormal
274,328,361,1023,Abnormal
271,320,375,1023,Abnormal
274,310,375,1023,Abnormal
276,327,353,1020,Abnormal
276,325,354,1018,Abnormal
277,325,354,1018,Abnormal
272,327,358,1018,Abnormal
267,323,360,1018,Abnormal
266,321,356,1018,Abnormal
260,320,362,1018,Abnormal
263,321,359,1021,Abnormal
269,320,357,1022,Abnormal
274,320,357,1022,Abnormal
270,320,358,1022,Abnormal
262,324,362,1023,Abnormal
278,320,360,1021,Abnormal
273,323,357,1021,Abnormal
271,326,356,1019,Abnormal
277,328,356,1019,Abnormal
277,382,370,1019,Abnormal
343,396,359,1022,Abnormal
344,385,350,1022,Abnormal
333,394,348,1022,Abnormal
336,404,346,1022,Abnormal
337,401,344,1022,Abnormal
334,410,339,1022,Abnormal
337,398,344,1022,Abnormal
332,412,341,1023,Abnormal
339,404,348,1021,Abnormal
334,399,343,1023,Abnormal
335,395,343,1023,Abnormal
329,401,347,1023,Abnormal
335,400,349,1023,Abnormal
336,400,344,1023,Abnormal
337,394,345,1023,Abnormal
333,398,342,1023,Abnormal
330,394,346,1021,Abnormal
335,414,341,1021,Abnormal
334,397,346,103,Abnormal
338,399,342,103,Abnormal
339,393,344,103,Abnormal
336,399,342,103,Abnormal
335,400,341,103,Abnormal
335,401,344,103,Abnormal
301,382,374,103,Abnormal
268,339,362,103,Abnormal
267,335,355,103,Abnormal
263,335,357,1023,Abnormal
250,337,358,1023,Abnormal
273,332,360,1020,Abnormal
274,336,360,1020,Abnormal
269,339,353,1022,Abnormal
277,337,354,1022,Abnormal
271,334,355,1022,Abnormal
264,332,356,1022,Abnormal
274,338,356,1022,Abnormal
272,336,352,1022,Abnormal
270,335,352,1022,Abnormal
274,333,352,1022,Abnormal
269,336,352,1022,Abnormal
270,337,353,1022,Abnormal
272,336,353,1022,Abnormal
273,336,354,1022,Abnormal
265,336,353,1022,Abnormal
265,336,353,1022,Abnormal
264,337,354,1022,Abnormal
266,336,352,1021,Abnormal
265,335,353,1022,Abnormal
268,337,357,1022,Abnormal
270,337,358,1022,Abnormal
268,336,357,1022,Abnormal
267,335,356,1022,Abnormal
269,335,357,1022,Abnormal
267,333,356,1022,Abnormal
266,336,354,1022,Abnormal
282,333,354,1022,Abnormal
266,341,360,1022,Abnormal
265,332,354,1021,Abnormal
275,338,358,1021,Abnormal
278,331,364,1021,Abnormal
274,338,357,1023,Abnormal
271,336,351,1023,Abnormal
269,337,354,1023,Abnormal
275,336,354,1023,Abnormal
269,347,350,1019,Abnormal
342,349,414,1019,Abnormal
335,348,419,1019,Abnormal
266,338,371,1019,Abnormal
285,358,395,1019,Abnormal
356,337,412,1019,Abnormal
373,339,399,1019,Abnormal
357,307,415,1019,Abnormal
397,334,392,1019,Abnormal
399,360,365,1019,Abnormal
404,329,403,1023,Abnormal
410,336,399,1023,Abnormal
397,334,386,1022,Abnormal
395,335,380,1022,Abnormal
391,333,383,1022,Abnormal
399,334,384,1022,Abnormal
410,343,392,596,Abnormal
405,337,390,596,Abnormal
395,335,385,596,Abnormal
362,338,363,1020,Abnormal
412,342,393,1020,Abnormal
392,334,375,1023,Abnormal
390,335,375,1020,Abnormal
391,331,382,416,Abnormal
387,329,378,416,Abnormal
393,333,384,1019,Abnormal
392,332,384,1019,Abnormal
396,334,386,1023,Abnormal
398,334,387,1023,Abnormal
399,334,386,1023,Abnormal
397,335,381,1023,Abnormal
404,337,385,1023,Abnormal
403,335,385,1021,Abnormal
395,335,382,1021,Abnormal
405,340,392,1021,Abnormal
394,335,385,1021,Abnormal
389,330,380,1021,Abnormal
391,332,383,1021,Abnormal
396,334,386,1021,Abnormal
399,334,386,1021,Abnormal
399,333,384,1021,Abnormal
393,329,381,1019,Abnormal
389,333,374,1019,Abnormal
395,337,380,1019,Abnormal
398,333,379,1019,Abnormal
391,334,377,1019,Abnormal
401,338,392,1022,Abnormal
395,332,379,1022,Abnormal
394,337,379,1022,Abnormal
388,332,374,1022,Abnormal
404,336,388,1022,Abnormal
393,332,380,1022,Abnormal
396,333,377,1022,Abnormal
391,332,381,1022,Abnormal
418,346,384,1022,Abnormal
402,335,386,1022,Abnormal
346,337,414,1022,Abnormal
310,340,419,1022,Abnormal
300,346,419,1023,Abnormal
288,332,397,1023,Abnormal
305,339,402,1023,Abnormal
292,337,401,1023,Abnormal
286,337,387,1023,Abnormal
277,328,375,1023,Abnormal
274,335,379,1023,Abnormal
270,335,378,1023,Abnormal
277,337,375,1023,Abnormal
280,333,390,1023,Abnormal
283,350,380,1023,Abnormal
274,342,374,1023,Abnormal
269,355,366,1023,Abnormal
273,338,378,106,Abnormal
263,331,387,105,Abnormal
278,331,386,104,Abnormal
275,337,378,104,Abnormal
285,336,370,104,Abnormal
273,337,381,104,Abnormal
272,338,380,104,Abnormal
270,335,386,104,Abnormal
269,334,387,1019,Abnormal
285,337,388,1019,Abnormal
289,339,398,1019,Abnormal
293,338,397,1019,Abnormal
309,343,376,1021,Abnormal
289,336,415,1021,Abnormal
296,338,405,1022,Abnormal
276,332,431,1022,Abnormal
307,341,405,1022,Abnormal
308,319,408,1022,Abnormal
307,331,409,1022,Abnormal
302,325,407,1022,Abnormal
303,330,420,1022,Abnormal
303,323,409,1022,Abnormal
303,327,409,1022,Abnormal
305,324,423,1022,Abnormal
303,329,406,1021,Abnormal
305,330,411,1022,Abnormal
296,325,409,1022,Abnormal
298,328,417,1022,Abnormal
304,328,397,1022,Abnormal
300,327,408,1022,Abnormal
287,321,421,1022,Abnormal
268,350,404,1021,Abnormal
293,338,399,1021,Abnormal
294,342,401,1022,Abnormal
292,337,399,1022,Abnormal
296,339,400,1022,Abnormal
287,334,397,1022,Abnormal
290,337,399,1022,Abnormal
290,336,400,1022,Abnormal
290,336,399,1022,Abnormal
289,335,396,1022,Abnormal
288,336,398,1022,Abnormal
